provider_id,year_month,days_reported,avg_daily_census,total_nurse_hours,total_contract_nurse_hours,avg_total_nurse_hours_per_resident_day,avg_rn_hours_per_resident_day,avg_contract_staff_ratio,provider_name,state,city,county,ownership_type,provider_type,certified_bed_count,overall_rating,staffing_rating,quality_measure_rating,bed_utilization_rate
015023,2024-05,31,88.54838709677419,8434.15,2043.64,3.072304749353277,0.7116454019453639,0.2430631319342232,HATLEY HEALTH CARE INC,AL,,,For profit - Corporation,Medicare and Medicaid,201.0,5.0,3.0,3.0,0.44053923928743377
015023,2024-06,30,85.86666666666666,8028.05,2077.58,3.116398966922192,0.6131053874907111,0.26126233647145514,HATLEY HEALTH CARE INC,AL,,,For profit - Corporation,Medicare and Medicaid,201.0,5.0,3.0,3.0,0.42719734660033165
015024,2024-04,30,135.1,11483.25,0.0,2.833354004124307,0.3695497977925459,0.0,"LIMESTONE NURSING AND REHABILITATION CENTER, LLC",AL,,,For profit - Corporation,Medicare and Medicaid,170.0,2.0,2.0,3.0,0.7947058823529412
015024,2024-05,31,135.41935483870967,11249.25,0.0,2.679876224160389,0.3332678955231541,0.0,"LIMESTONE NURSING AND REHABILITATION CENTER, LLC",AL,,,For profit - Corporation,Medicare and Medicaid,170.0,2.0,2.0,3.0,0.7965844402277039
015024,2024-06,30,133.16666666666666,11450.75,0.0,2.8662777387483795,0.43893918994943903,0.0,"LIMESTONE NURSING AND REHABILITATION CENTER, LLC",AL,,,For profit - Corporation,Medicare and Medicaid,170.0,2.0,2.0,3.0,0.7833333333333333
015027,2024-04,30,116.1,10751.0,0.0,3.0873864805830875,0.16474905494391,0.0,"WETUMPKA HEALTH AND REHABILITATION, LLC",AL,,,For profit - Corporation,Medicare and Medicaid,121.0,1.0,2.0,3.0,0.959504132231405
015027,2024-05,31,113.70967741935483,11006.42,0.0,3.122271248253938,0.16696784616012236,0.0,"WETUMPKA HEALTH AND REHABILITATION, LLC",AL,,,For profit - Corporation,Medicare and Medicaid,121.0,1.0,2.0,3.0,0.9397494001599573
015027,2024-06,30,113.5,10890.03,0.0,3.198766758325739,0.15673166753390816,0.0,"WETUMPKA HEALTH AND REHABILITATION, LLC",AL,,,For profit - Corporation,Medicare and Medicaid,121.0,1.0,2.0,3.0,0.9380165289256198
015028,2024-04,30,79.6,6878.98,0.0,2.8804166953597345,0.8171581381796679,0.0,KELLER LANDING,AL,,,For profit - Corporation,Medicare and Medicaid,109.0,5.0,4.0,2.0,0.7302752293577981
015028,2024-05,31,77.29032258064517,6991.2,0.0,2.9184705612964623,0.8773060409565159,0.0,KELLER LANDING,AL,,,For profit - Corporation,Medicare and Medicaid,109.0,5.0,4.0,2.0,0.7090855282627997
015028,2024-06,30,78.53333333333333,6793.8,0.0,2.882792455972236,0.9766195813546811,0.0,KELLER LANDING,AL,,,For profit - Corporation,Medicare and Medicaid,109.0,5.0,4.0,2.0,0.7204892966360856
015031,2024-04,30,184.83333333333334,17639.25,0.0,3.182688075557115,0.4509549840839542,0.0,MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION,AL,,,For profit - Corporation,Medicare and Medicaid,222.0,4.0,4.0,3.0,0.8325825825825827
015031,2024-05,31,184.8709677419355,18624.0,0.0,3.25296468404934,0.47396779641137043,0.0,MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION,AL,,,For profit - Corporation,Medicare and Medicaid,222.0,4.0,4.0,3.0,0.8327521069456554
015031,2024-06,30,182.63333333333333,18753.0,0.0,3.4238335756974934,0.5261417911323012,0.0,MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION,AL,,,For profit - Corporation,Medicare and Medicaid,222.0,4.0,4.0,3.0,0.8226726726726726
015032,2024-04,30,126.36666666666666,11527.62,0.0,3.0405207393791467,0.2931712909189916,0.0,DIVERSICARE OF FOLEY,AL,,,For profit - Corporation,Medicare and Medicaid,154.0,1.0,2.0,4.0,0.8205627705627705
015032,2024-05,31,130.51612903225808,11631.25,0.0,2.8750292558619552,0.2956622487086708,0.0,DIVERSICARE OF FOLEY,AL,,,For profit - Corporation,Medicare and Medicaid,154.0,1.0,2.0,4.0,0.8475073313782993
015032,2024-06,30,127.56666666666666,10982.09,0.0,2.8715039400630227,0.3249761293293429,0.0,DIVERSICARE OF FOLEY,AL,,,For profit - Corporation,Medicare and Medicaid,154.0,1.0,2.0,4.0,0.8283549783549783
015034,2024-04,30,74.7,6910.11,0.0,3.0831784585840065,0.36726726696513645,0.0,"HUNTER CREEK HEALTH AND REHABILITATION, LLC",AL,,,For profit - Limited Liability company,Medicare and Medicaid,78.0,3.0,3.0,4.0,0.9576923076923077
015034,2024-05,31,74.38709677419355,6989.35,0.0,3.0309679249029218,0.3349914911275114,0.0,"HUNTER CREEK HEALTH AND REHABILITATION, LLC",AL,,,For profit - Limited Liability company,Medicare and Medicaid,78.0,3.0,3.0,4.0,0.9536807278742763
015034,2024-06,30,76.53333333333333,6955.05,0.0,3.029558665721788,0.3577921116490747,0.0,"HUNTER CREEK HEALTH AND REHABILITATION, LLC",AL,,,For profit - Limited Liability company,Medicare and Medicaid,78.0,3.0,3.0,4.0,0.9811965811965812
015035,2024-04,30,103.93333333333334,12672.34,0.0,4.064124729909266,0.2908191533752971,0.0,WEST GATE VILLAGE,AL,,,For profit - Corporation,Medicare and Medicaid,125.0,5.0,5.0,2.0,0.8314666666666667
015035,2024-05,31,103.38709677419355,12950.08,0.0,4.042808618815395,0.30826355822942825,0.0,WEST GATE VILLAGE,AL,,,For profit - Corporation,Medicare and Medicaid,125.0,5.0,5.0,2.0,0.8270967741935484
015035,2024-06,30,101.66666666666667,12833.93,0.0,4.208291901006306,0.3358985154703034,0.0,WEST GATE VILLAGE,AL,,,For profit - Corporation,Medicare and Medicaid,125.0,5.0,5.0,2.0,0.8133333333333334
015040,2024-04,30,117.26666666666667,7114.21,0.0,2.022892146516453,0.20884120736107337,0.0,DIVERSICARE OF MONTGOMERY,AL,,,For profit - Corporation,Medicare and Medicaid,138.0,3.0,2.0,5.0,0.8497584541062801
015040,2024-05,31,115.48387096774194,8190.99,0.0,2.290379808139736,0.23881312505345004,0.0,DIVERSICARE OF MONTGOMERY,AL,,,For profit - Corporation,Medicare and Medicaid,138.0,3.0,2.0,5.0,0.8368396446937821
015040,2024-06,30,112.5,7907.99,0.0,2.3441171214417573,0.31537774960562776,0.0,DIVERSICARE OF MONTGOMERY,AL,,,For profit - Corporation,Medicare and Medicaid,138.0,3.0,2.0,5.0,0.8152173913043478
015042,2024-04,30,102.86666666666666,9877.42,0.0,3.2016814191516487,0.3507594027982511,0.0,"SUMTER HEALTH AND REHABILITATION, L L C",AL,,,For profit - Corporation,Medicare and Medicaid,125.0,3.0,4.0,3.0,0.8229333333333333
015042,2024-05,31,104.25806451612904,9964.45,0.0,3.085964344139867,0.358726866066835,0.0,"SUMTER HEALTH AND REHABILITATION, L L C",AL,,,For profit - Corporation,Medicare and Medicaid,125.0,3.0,4.0,3.0,0.8340645161290323
015042,2024-06,30,101.4,9793.22,0.0,3.220233905618096,0.3484415358303841,0.0,"SUMTER HEALTH AND REHABILITATION, L L C",AL,,,For profit - Corporation,Medicare and Medicaid,125.0,3.0,4.0,3.0,0.8112
015044,2024-04,30,41.833333333333336,4112.9800000000005,302.23,3.28000874456419,0.2394157742034231,0.07591476715751803,"CAREGIVERS OF PLEASANT GROVE, INC",AL,,,For profit - Corporation,Medicare and Medicaid,64.0,1.0,4.0,1.0,0.6536458333333334
015044,2024-05,31,44.354838709677416,4194.12,643.37,3.049703110598302,0.1170637624560859,0.1539364037988639,"CAREGIVERS OF PLEASANT GROVE, INC",AL,,,For profit - Corporation,Medicare and Medicaid,64.0,1.0,4.0,1.0,0.6930443548387096
015044,2024-06,30,44.06666666666667,4334.31,400.46,3.2821659479594816,0.27397132419204034,0.09262598243552965,"CAREGIVERS OF PLEASANT GROVE, INC",AL,,,For profit - Corporation,Medicare and Medicaid,64.0,1.0,4.0,1.0,0.6885416666666667
015045,2024-04,30,74.96666666666667,8022.57,0.0,3.5712392133367477,0.20535709679081562,0.0,EAMC LANIER NURSING HOME,AL,,,Non profit - Corporation,Medicare and Medicaid,103.0,4.0,4.0,4.0,0.7278317152103561
015045,2024-05,31,70.93548387096774,7844.29,0.0,3.5700627190244725,0.15658372882324617,0.0,EAMC LANIER NURSING HOME,AL,,,Non profit - Corporation,Medicare and Medicaid,103.0,4.0,4.0,4.0,0.6886940181647354
015045,2024-06,30,69.06666666666666,8209.46,0.0,3.9619855948850247,0.30919283207057063,0.0,EAMC LANIER NURSING HOME,AL,,,Non profit - Corporation,Medicare and Medicaid,103.0,4.0,4.0,4.0,0.6705501618122977
015047,2024-04,30,109.33333333333333,6377.6,0.0,1.9440708928329753,0.12946914298970516,0.0,"NORTHWAY HEALTH AND REHABILITATION, LLC",AL,,,For profit - Limited Liability company,Medicare and Medicaid,113.0,2.0,3.0,3.0,0.967551622418879
015047,2024-05,31,107.19354838709677,6282.47,0.0,1.8896545758578942,0.1226639736778243,0.0,"NORTHWAY HEALTH AND REHABILITATION, LLC",AL,,,For profit - Limited Liability company,Medicare and Medicaid,113.0,2.0,3.0,3.0,0.9486154724521838
015047,2024-06,30,108.36666666666666,5624.84,0.0,1.730454405059811,0.13016341432903208,0.0,"NORTHWAY HEALTH AND REHABILITATION, LLC",AL,,,For profit - Limited Liability company,Medicare and Medicaid,113.0,2.0,3.0,3.0,0.9589970501474926
015048,2024-04,30,86.06666666666666,8564.25,0.0,3.3180602275481386,0.4869090138925911,0.0,CULLMAN HEALTH CARE CENTER,AL,,,For profit - Corporation,Medicare and Medicaid,95.0,3.0,4.0,4.0,0.9059649122807018
015048,2024-05,31,86.19354838709677,8893.75,0.0,3.3275297286530536,0.485559294976553,0.0,CULLMAN HEALTH CARE CENTER,AL,,,For profit - Corporation,Medicare and Medicaid,95.0,3.0,4.0,4.0,0.9073005093378608
015048,2024-06,30,88.93333333333334,9125.81,0.0,3.424867246116995,0.5068187773116023,0.0,CULLMAN HEALTH CARE CENTER,AL,,,For profit - Corporation,Medicare and Medicaid,95.0,3.0,4.0,4.0,0.936140350877193
015049,2024-04,30,104.73333333333333,10836.5,0.0,3.4534544004463745,0.552558065037738,0.0,EASTERN SHORE REHABILITATION AND HEALTH CENTER,AL,,,Non profit - Corporation,Medicare and Medicaid,117.0,4.0,4.0,4.0,0.8951566951566952
015049,2024-05,31,104.16129032258064,11988.0,0.0,3.71406808955226,0.5563713915742335,0.0,EASTERN SHORE REHABILITATION AND HEALTH CENTER,AL,,,Non profit - Corporation,Medicare and Medicaid,117.0,4.0,4.0,4.0,0.8902674386545354
015049,2024-06,30,103.56666666666666,11728.5,0.0,3.7790848887178137,0.5316321123165973,0.0,EASTERN SHORE REHABILITATION AND HEALTH CENTER,AL,,,Non profit - Corporation,Medicare and Medicaid,117.0,4.0,4.0,4.0,0.8851851851851852
015050,2024-04,30,53.8,4372.16,0.0,2.709631346931661,0.2804364981047371,0.0,OAK CREST HEALTH & WELLNESS,AL,,,For profit - Limited Liability company,Medicare and Medicaid,79.0,1.0,3.0,3.0,0.6810126582278481
015050,2024-05,31,56.87096774193548,4830.9,0.0,2.7426523405084824,0.2752243001711137,0.0,OAK CREST HEALTH & WELLNESS,AL,,,For profit - Limited Liability company,Medicare and Medicaid,79.0,1.0,3.0,3.0,0.7198856676194365
015050,2024-06,30,57.56666666666667,5012.19,0.0,2.9034496022491183,0.33181548303728703,0.0,OAK CREST HEALTH & WELLNESS,AL,,,For profit - Limited Liability company,Medicare and Medicaid,79.0,1.0,3.0,3.0,0.7286919831223629
015053,2024-04,30,73.9,6875.09,378.0,3.103079806590971,0.15316027829620837,0.05506403627185848,CLEBURNE COUNTY NURSING HOME,AL,,,Government - County,Medicare and Medicaid,82.0,5.0,4.0,3.0,0.901219512195122
015053,2024-05,31,71.06451612903226,7692.51,472.0,3.491373459565095,0.17679785184064695,0.06200471188021764,CLEBURNE COUNTY NURSING HOME,AL,,,Government - County,Medicare and Medicaid,82.0,5.0,4.0,3.0,0.8666404405979543
015053,2024-06,30,71.46666666666667,7817.85,221.25,3.6472372296747864,0.18260113885172816,0.02810137169781507,CLEBURNE COUNTY NURSING HOME,AL,,,Government - County,Medicare and Medicaid,82.0,5.0,4.0,3.0,0.8715447154471545
015060,2024-04,30,56.766666666666666,5104.04,0.0,2.997796441351772,0.3679511723127222,0.0,RIDGEWAY REHABILITATION & SENIOR LIVING,AL,,,For profit - Corporation,Medicare and Medicaid,69.0,1.0,3.0,3.0,0.8227053140096618
015060,2024-05,31,56.61290322580645,5333.75,0.0,3.040972252592752,0.37708507839271554,0.0,RIDGEWAY REHABILITATION & SENIOR LIVING,AL,,,For profit - Corporation,Medicare and Medicaid,69.0,1.0,3.0,3.0,0.820476858345021
015060,2024-06,30,55.6,5162.79,0.0,3.096111486258435,0.3286624241971567,0.0,RIDGEWAY REHABILITATION & SENIOR LIVING,AL,,,For profit - Corporation,Medicare and Medicaid,69.0,1.0,3.0,3.0,0.8057971014492754
015063,2024-04,30,94.1,6684.07,0.0,2.3677299887918606,0.4733913863049178,0.0,DIVERSICARE OF BOAZ,AL,,,For profit - Corporation,Medicare and Medicaid,100.0,4.0,3.0,5.0,0.941
015063,2024-05,31,97.2258064516129,7021.7300000000005,0.0,2.3310795264396846,0.5602616345444775,0.0,DIVERSICARE OF BOAZ,AL,,,For profit - Corporation,Medicare and Medicaid,100.0,4.0,3.0,5.0,0.972258064516129
015063,2024-06,30,95.4,7247.36,0.0,2.535738153233673,0.5428130011665507,0.0,DIVERSICARE OF BOAZ,AL,,,For profit - Corporation,Medicare and Medicaid,100.0,4.0,3.0,5.0,0.9540000000000001
